'Time','ECG1','ECG2'
'[10:00:02.728]',-0.380,0.240
'[10:00:02.732]',-0.365,0.255
'[10:00:02.736]',-0.385,0.240
'[10:00:02.740]',-0.365,0.230
'[10:00:02.744]',-0.350,0.260
'[10:00:02.748]',-0.370,0.250
'[10:00:02.752]',-0.370,0.270
'[10:00:02.756]',-0.390,0.285
'[10:00:02.760]',-0.380,0.255
'[10:00:02.764]',-0.390,0.290
'[10:00:02.768]',-0.390,0.295
'[10:00:02.772]',-0.380,0.325
'[10:00:02.776]',-0.395,0.340
'[10:00:02.780]',-0.375,0.310
'[10:00:02.784]',-0.355,0.330
'[10:00:02.788]',-0.385,0.340
'[10:00:02.792]',-0.415,0.360
'[10:00:02.796]',-0.435,0.390
'[10:00:02.800]',-0.455,0.400
'[10:00:02.804]',-0.425,0.430
'[10:00:02.808]',-0.445,0.430
'[10:00:02.812]',-0.400,0.440
'[10:00:02.816]',-0.430,0.465
'[10:00:02.820]',-0.440,0.475
'[10:00:02.824]',-0.450,0.515
'[10:00:02.828]',-0.470,0.540
'[10:00:02.832]',-0.495,0.560
'[10:00:02.836]',-0.505,0.580
'[10:00:02.840]',-0.520,0.600
'[10:00:02.844]',-0.495,0.610
'[10:00:02.848]',-0.490,0.620
'[10:00:02.852]',-0.470,0.655
'[10:00:02.856]',-0.480,0.660
'[10:00:02.860]',-0.485,0.705
'[10:00:02.864]',-0.505,0.720
'[10:00:02.868]',-0.515,0.770
'[10:00:02.872]',-0.510,0.765
'[10:00:02.876]',-0.515,0.795
'[10:00:02.880]',-0.515,0.795
'[10:00:02.884]',-0.500,0.815
'[10:00:02.888]',-0.490,0.835
'[10:00:02.892]',-0.485,0.850
'[10:00:02.896]',-0.490,0.870
'[10:00:02.900]',-0.500,0.865
'[10:00:02.904]',-0.490,0.880
'[10:00:02.908]',-0.480,0.865
'[10:00:02.912]',-0.460,0.895
'[10:00:02.916]',-0.475,0.875
'[10:00:02.920]',-0.445,0.870
'[10:00:02.924]',-0.435,0.860
'[10:00:02.928]',-0.415,0.865
'[10:00:02.932]',-0.425,0.830
'[10:00:02.936]',-0.405,0.835
'[10:00:02.940]',-0.375,0.785
'[10:00:02.944]',-0.350,0.765
'[10:00:02.948]',-0.325,0.735
'[10:00:02.952]',-0.300,0.695
'[10:00:02.956]',-0.305,0.640
'[10:00:02.960]',-0.285,0.575
'[10:00:02.964]',-0.290,0.525
'[10:00:02.968]',-0.260,0.465
'[10:00:02.972]',-0.275,0.435
'[10:00:02.976]',-0.255,0.380
'[10:00:02.980]',-0.265,0.335
'[10:00:02.984]',-0.255,0.285
'[10:00:02.988]',-0.240,0.260
'[10:00:02.992]',-0.220,0.210
'[10:00:02.996]',-0.210,0.150
'[10:00:03.000]',-0.220,0.120
'[10:00:03.004]',-0.225,0.075
'[10:00:03.008]',-0.225,0.090
'[10:00:03.012]',-0.215,0.055
'[10:00:03.016]',-0.230,0.045
'[10:00:03.020]',-0.240,0.025
'[10:00:03.024]',-0.270,0.000
'[10:00:03.028]',-0.285,0.000
'[10:00:03.032]',-0.260,-0.030
'[10:00:03.036]',-0.260,-0.025
'[10:00:03.040]',-0.285,-0.020
'[10:00:03.044]',-0.295,0.000
'[10:00:03.048]',-0.285,-0.010
'[10:00:03.052]',-0.270,-0.015
'[10:00:03.056]',-0.275,-0.010
'[10:00:03.060]',-0.265,0.000
'[10:00:03.064]',-0.240,-0.020
'[10:00:03.068]',-0.265,-0.030
'[10:00:03.072]',-0.285,0.000
'[10:00:03.076]',-0.290,-0.020
'[10:00:03.080]',-0.330,-0.010
'[10:00:03.084]',-0.325,-0.005
'[10:00:03.088]',-0.330,0.005
'[10:00:03.092]',-0.320,0.000
'[10:00:03.096]',-0.315,0.015
'[10:00:03.100]',-0.305,0.000
'[10:00:03.104]',-0.320,-0.005
'[10:00:03.108]',-0.315,0.010
'[10:00:03.112]',-0.315,-0.015
'[10:00:03.116]',-0.320,0.005
'[10:00:03.120]',-0.305,0.010
'[10:00:03.124]',-0.310,0.000
'[10:00:03.128]',-0.295,0.015
'[10:00:03.132]',-0.300,0.000
'[10:00:03.136]',-0.300,-0.005
'[10:00:03.140]',-0.325,-0.015
'[10:00:03.144]',-0.320,0.005
'[10:00:03.148]',-0.305,-0.015
'[10:00:03.152]',-0.330,-0.030
'[10:00:03.156]',-0.325,-0.030
'[10:00:03.160]',-0.320,-0.005
'[10:00:03.164]',-0.320,-0.025
'[10:00:03.168]',-0.300,-0.025
'[10:00:03.172]',-0.285,-0.010
'[10:00:03.176]',-0.285,-0.030
'[10:00:03.180]',-0.285,-0.035
'[10:00:03.184]',-0.280,-0.030
'[10:00:03.188]',-0.255,-0.035
'[10:00:03.192]',-0.225,-0.035
'[10:00:03.196]',-0.190,-0.015
'[10:00:03.200]',-0.185,-0.025
'[10:00:03.204]',-0.180,-0.015
'[10:00:03.208]',-0.160,-0.020
'[10:00:03.212]',-0.150,-0.030
'[10:00:03.216]',-0.105,0.000
'[10:00:03.220]',-0.055,0.005
'[10:00:03.224]',-0.075,0.010
'[10:00:03.228]',-0.110,0.020
'[10:00:03.232]',-0.135,0.045
'[10:00:03.236]',-0.105,0.050
'[10:00:03.240]',-0.085,0.060
'[10:00:03.244]',-0.075,0.050
'[10:00:03.248]',-0.100,0.030
'[10:00:03.252]',-0.125,0.030
'[10:00:03.256]',-0.150,0.035
'[10:00:03.260]',-0.180,0.015
'[10:00:03.264]',-0.165,-0.015
'[10:00:03.268]',-0.180,-0.030
'[10:00:03.272]',-0.190,-0.040
'[10:00:03.276]',-0.175,-0.070
'[10:00:03.280]',-0.185,-0.095
'[10:00:03.284]',-0.190,-0.095
'[10:00:03.288]',-0.190,-0.090
'[10:00:03.292]',-0.205,-0.100
'[10:00:03.296]',-0.240,-0.110
'[10:00:03.300]',-0.280,-0.105
'[10:00:03.304]',-0.325,-0.115
'[10:00:03.308]',-0.355,-0.105
'[10:00:03.312]',-0.355,-0.100
'[10:00:03.316]',-0.370,-0.100
'[10:00:03.320]',-0.355,-0.085
'[10:00:03.324]',-0.375,-0.100
'[10:00:03.328]',-0.355,-0.125
'[10:00:03.332]',-0.360,-0.105
'[10:00:03.336]',-0.360,-0.100
'[10:00:03.340]',-0.370,-0.095
'[10:00:03.344]',-0.370,-0.110
'[10:00:03.348]',-0.375,-0.090
'[10:00:03.352]',-0.375,-0.100
'[10:00:03.356]',-0.335,-0.100
'[10:00:03.360]',-0.365,-0.100
'[10:00:03.364]',-0.375,-0.115
'[10:00:03.368]',-0.370,-0.130
'[10:00:03.372]',-0.380,-0.115
'[10:00:03.376]',-0.380,-0.100
'[10:00:03.380]',-0.360,-0.095
'[10:00:03.384]',-0.365,-0.105
'[10:00:03.388]',-0.330,-0.085
'[10:00:03.392]',-0.320,-0.120
'[10:00:03.396]',-0.320,-0.100
'[10:00:03.400]',-0.310,-0.145
'[10:00:03.404]',-0.270,-0.115
'[10:00:03.408]',-0.185,-0.110
'[10:00:03.412]',-0.045,-0.120
'[10:00:03.416]',0.130,-0.125
'[10:00:03.420]',0.375,-0.115
'[10:00:03.424]',0.605,-0.150
'[10:00:03.428]',0.785,-0.130
'[10:00:03.432]',0.915,-0.095
'[10:00:03.436]',1.000,-0.115
'[10:00:03.440]',1.000,-0.275
'[10:00:03.444]',0.945,-0.680
'[10:00:03.448]',0.885,-1.320
'[10:00:03.452]',0.775,-1.960
'[10:00:03.456]',0.700,-2.530
'[10:00:03.460]',0.665,-2.815
'[10:00:03.464]',0.665,-2.970
'[10:00:03.468]',0.680,-3.020
'[10:00:03.472]',0.700,-3.055
'[10:00:03.476]',0.680,-3.060
'[10:00:03.480]',0.620,-3.005
'[10:00:03.484]',0.475,-2.840
'[10:00:03.488]',0.330,-2.595
'[10:00:03.492]',0.205,-2.285
'[10:00:03.496]',0.190,-2.020
'[10:00:03.500]',0.285,-1.815
'[10:00:03.504]',0.405,-1.680
'[10:00:03.508]',0.420,-1.565
'[10:00:03.512]',0.330,-1.445
'[10:00:03.516]',0.130,-1.275
'[10:00:03.520]',-0.075,-1.050
'[10:00:03.524]',-0.240,-0.815
'[10:00:03.528]',-0.305,-0.655
'[10:00:03.532]',-0.315,-0.495
'[10:00:03.536]',-0.300,-0.390
'[10:00:03.540]',-0.315,-0.280
'[10:00:03.544]',-0.355,-0.190
'[10:00:03.548]',-0.400,-0.060
'[10:00:03.552]',-0.415,0.045
'[10:00:03.556]',-0.435,0.135
'[10:00:03.560]',-0.430,0.190
'[10:00:03.564]',-0.440,0.215
'[10:00:03.568]',-0.430,0.215
'[10:00:03.572]',-0.445,0.205
'[10:00:03.576]',-0.445,0.220
'[10:00:03.580]',-0.435,0.230
'[10:00:03.584]',-0.420,0.245
'[10:00:03.588]',-0.435,0.255
'[10:00:03.592]',-0.430,0.260
'[10:00:03.596]',-0.430,0.270
'[10:00:03.600]',-0.430,0.275
'[10:00:03.604]',-0.415,0.275
'[10:00:03.608]',-0.400,0.300
'[10:00:03.612]',-0.380,0.300
'[10:00:03.616]',-0.395,0.315
'[10:00:03.620]',-0.435,0.315
'[10:00:03.624]',-0.440,0.305
'[10:00:03.628]',-0.445,0.315
'[10:00:03.632]',-0.470,0.325
'[10:00:03.636]',-0.465,0.370
'[10:00:03.640]',-0.475,0.370
'[10:00:03.644]',-0.475,0.395
'[10:00:03.648]',-0.475,0.380
'[10:00:03.652]',-0.460,0.385
'[10:00:03.656]',-0.455,0.420
'[10:00:03.660]',-0.475,0.400
'[10:00:03.664]',-0.500,0.415
'[10:00:03.668]',-0.515,0.435
'[10:00:03.672]',-0.525,0.475
'[10:00:03.676]',-0.530,0.465
'[10:00:03.680]',-0.505,0.485
'[10:00:03.684]',-0.505,0.505
'[10:00:03.688]',-0.525,0.535
'[10:00:03.692]',-0.550,0.555
'[10:00:03.696]',-0.555,0.575
'[10:00:03.700]',-0.550,0.580
'[10:00:03.704]',-0.530,0.625
'[10:00:03.708]',-0.540,0.660
'[10:00:03.712]',-0.560,0.680
'[10:00:03.716]',-0.570,0.700
'[10:00:03.720]',-0.580,0.710
'[10:00:03.724]',-0.565,0.735
'[10:00:03.728]',-0.565,0.765
'[10:00:03.732]',-0.560,0.780
'[10:00:03.736]',-0.580,0.785
'[10:00:03.740]',-0.565,0.800
'[10:00:03.744]',-0.545,0.815
'[10:00:03.748]',-0.555,0.820
'[10:00:03.752]',-0.575,0.830
'[10:00:03.756]',-0.555,0.835
'[10:00:03.760]',-0.530,0.830
'[10:00:03.764]',-0.540,0.845
'[10:00:03.768]',-0.550,0.860
'[10:00:03.772]',-0.495,0.860
'[10:00:03.776]',-0.500,0.870
'[10:00:03.780]',-0.505,0.860
'[10:00:03.784]',-0.510,0.850
'[10:00:03.788]',-0.475,0.850
'[10:00:03.792]',-0.450,0.820
'[10:00:03.796]',-0.440,0.800
'[10:00:03.800]',-0.440,0.770
'[10:00:03.804]',-0.445,0.750
'[10:00:03.808]',-0.435,0.695
'[10:00:03.812]',-0.385,0.655
'[10:00:03.816]',-0.375,0.610
'[10:00:03.820]',-0.370,0.560
'[10:00:03.824]',-0.360,0.535
'[10:00:03.828]',-0.355,0.475
'[10:00:03.832]',-0.355,0.420
'[10:00:03.836]',-0.335,0.355
'[10:00:03.840]',-0.350,0.325
'[10:00:03.844]',-0.365,0.285
'[10:00:03.848]',-0.355,0.240
'[10:00:03.852]',-0.320,0.195
'[10:00:03.856]',-0.335,0.180
'[10:00:03.860]',-0.315,0.130
'[10:00:03.864]',-0.320,0.100
'[10:00:03.868]',-0.300,0.070
'[10:00:03.872]',-0.290,0.050
'[10:00:03.876]',-0.330,0.020
'[10:00:03.880]',-0.320,0.025
'[10:00:03.884]',-0.335,0.020
'[10:00:03.888]',-0.360,0.010
'[10:00:03.892]',-0.360,0.020
'[10:00:03.896]',-0.315,0.000
'[10:00:03.900]',-0.335,-0.010
'[10:00:03.904]',-0.335,-0.035
'[10:00:03.908]',-0.370,-0.030
'[10:00:03.912]',-0.380,0.000
'[10:00:03.916]',-0.360,-0.020
'[10:00:03.920]',-0.355,-0.010
'[10:00:03.924]',-0.365,0.000
'[10:00:03.928]',-0.345,0.005
'[10:00:03.932]',-0.375,-0.005
'[10:00:03.936]',-0.375,-0.015
'[10:00:03.940]',-0.370,0.000
'[10:00:03.944]',-0.380,-0.020
'[10:00:03.948]',-0.415,-0.010
'[10:00:03.952]',-0.435,0.010
'[10:00:03.956]',-0.430,-0.005
'[10:00:03.960]',-0.415,0.015
'[10:00:03.964]',-0.405,0.000
'[10:00:03.968]',-0.395,0.000
'[10:00:03.972]',-0.380,0.000
'[10:00:03.976]',-0.355,0.010
'[10:00:03.980]',-0.365,0.020
'[10:00:03.984]',-0.355,0.000
'[10:00:03.988]',-0.370,0.005
'[10:00:03.992]',-0.420,0.000
'[10:00:03.996]',-0.400,0.000
'[10:00:04.000]',-0.400,0.015
'[10:00:04.004]',-0.390,0.000
'[10:00:04.008]',-0.385,-0.010
'[10:00:04.012]',-0.365,0.000
'[10:00:04.016]',-0.355,-0.020
'[10:00:04.020]',-0.365,-0.015
'[10:00:04.024]',-0.325,-0.040
'[10:00:04.028]',-0.330,-0.015
'[10:00:04.032]',-0.355,-0.020
'[10:00:04.036]',-0.355,-0.015
'[10:00:04.040]',-0.315,-0.025
'[10:00:04.044]',-0.300,-0.040
'[10:00:04.048]',-0.260,-0.060
'[10:00:04.052]',-0.240,-0.055
'[10:00:04.056]',-0.220,-0.055
'[10:00:04.060]',-0.215,-0.045
'[10:00:04.064]',-0.205,-0.040
'[10:00:04.068]',-0.200,0.005
'[10:00:04.072]',-0.205,0.005
'[10:00:04.076]',-0.195,0.010
'[10:00:04.080]',-0.150,0.015
'[10:00:04.084]',-0.130,0.025
'[10:00:04.088]',-0.115,0.020
'[10:00:04.092]',-0.130,0.045
'[10:00:04.096]',-0.145,0.035
'[10:00:04.100]',-0.155,0.025
'[10:00:04.104]',-0.160,0.020
'[10:00:04.108]',-0.175,0.020
'[10:00:04.112]',-0.190,-0.020
'[10:00:04.116]',-0.205,-0.015
'[10:00:04.120]',-0.210,-0.065
'[10:00:04.124]',-0.230,-0.075
'[10:00:04.128]',-0.240,-0.070
'[10:00:04.132]',-0.250,-0.095
'[10:00:04.136]',-0.240,-0.090
'[10:00:04.140]',-0.250,-0.110
'[10:00:04.144]',-0.270,-0.095
'[10:00:04.148]',-0.280,-0.085
'[10:00:04.152]',-0.320,-0.085
'[10:00:04.156]',-0.350,-0.120
'[10:00:04.160]',-0.370,-0.100
'[10:00:04.164]',-0.365,-0.105
'[10:00:04.168]',-0.370,-0.095
'[10:00:04.172]',-0.350,-0.095
'[10:00:04.176]',-0.345,-0.080
'[10:00:04.180]',-0.360,-0.050
'[10:00:04.184]',-0.405,-0.080
'[10:00:04.188]',-0.395,-0.080
'[10:00:04.192]',-0.400,-0.085
'[10:00:04.196]',-0.380,-0.090
'[10:00:04.200]',-0.395,-0.100
'[10:00:04.204]',-0.365,-0.090
'[10:00:04.208]',-0.370,-0.085
'[10:00:04.212]',-0.355,-0.085
'[10:00:04.216]',-0.360,-0.065
'[10:00:04.220]',-0.385,-0.060
'[10:00:04.224]',-0.340,-0.060
'[10:00:04.228]',-0.345,-0.080
'[10:00:04.232]',-0.335,-0.080
'[10:00:04.236]',-0.330,-0.070
'[10:00:04.240]',-0.305,-0.095
'[10:00:04.244]',-0.300,-0.050
'[10:00:04.248]',-0.280,-0.055
'[10:00:04.252]',-0.265,-0.060
'[10:00:04.256]',-0.195,-0.075
'[10:00:04.260]',-0.085,-0.065
'[10:00:04.264]',0.065,-0.100
'[10:00:04.268]',0.285,-0.100
'[10:00:04.272]',0.495,-0.110
'[10:00:04.276]',0.710,-0.150
'[10:00:04.280]',0.885,-0.130
'[10:00:04.284]',1.005,-0.080
'[10:00:04.288]',1.070,-0.120
'[10:00:04.292]',1.075,-0.360
'[10:00:04.296]',1.020,-0.820
'[10:00:04.300]',0.925,-1.460
'[10:00:04.304]',0.830,-2.050
'[10:00:04.308]',0.780,-2.465
'[10:00:04.312]',0.740,-2.735
'[10:00:04.316]',0.720,-2.875
'[10:00:04.320]',0.735,-2.940
'[10:00:04.324]',0.730,-2.950
'[10:00:04.328]',0.675,-2.925
'[10:00:04.332]',0.550,-2.825
'[10:00:04.336]',0.390,-2.610
'[10:00:04.340]',0.265,-2.320
'[10:00:04.344]',0.225,-2.040
'[10:00:04.348]',0.285,-1.810
'[10:00:04.352]',0.395,-1.635
'[10:00:04.356]',0.445,-1.530
'[10:00:04.360]',0.420,-1.435
'[10:00:04.364]',0.240,-1.270
'[10:00:04.368]',0.035,-1.050
'[10:00:04.372]',-0.145,-0.875
'[10:00:04.376]',-0.220,-0.680
'[10:00:04.380]',-0.235,-0.530
'[10:00:04.384]',-0.250,-0.435
'[10:00:04.388]',-0.285,-0.325
'[10:00:04.392]',-0.360,-0.215
'[10:00:04.396]',-0.390,-0.125
'[10:00:04.400]',-0.385,0.025
'[10:00:04.404]',-0.390,0.110
'[10:00:04.408]',-0.400,0.195
'[10:00:04.412]',-0.395,0.225
'[10:00:04.416]',-0.380,0.220
'[10:00:04.420]',-0.380,0.200
'[10:00:04.424]',-0.380,0.220
'[10:00:04.428]',-0.375,0.220
'[10:00:04.432]',-0.385,0.250
'[10:00:04.436]',-0.395,0.240
'[10:00:04.440]',-0.395,0.250
'[10:00:04.444]',-0.370,0.270
'[10:00:04.448]',-0.380,0.275
'[10:00:04.452]',-0.355,0.250
'[10:00:04.456]',-0.365,0.280
'[10:00:04.460]',-0.400,0.285
'[10:00:04.464]',-0.395,0.280
'[10:00:04.468]',-0.405,0.305
'[10:00:04.472]',-0.375,0.295
'[10:00:04.476]',-0.370,0.315
'[10:00:04.480]',-0.385,0.310
'[10:00:04.484]',-0.400,0.340
'[10:00:04.488]',-0.440,0.345
'[10:00:04.492]',-0.450,0.345
'[10:00:04.496]',-0.435,0.375
'[10:00:04.500]',-0.465,0.375
'[10:00:04.504]',-0.450,0.400
'[10:00:04.508]',-0.460,0.415
'[10:00:04.512]',-0.445,0.450
'[10:00:04.516]',-0.445,0.455
'[10:00:04.520]',-0.440,0.465
'[10:00:04.524]',-0.440,0.480
'[10:00:04.528]',-0.460,0.490
'[10:00:04.532]',-0.470,0.480
'[10:00:04.536]',-0.495,0.540
'[10:00:04.540]',-0.525,0.555
'[10:00:04.544]',-0.525,0.590
'[10:00:04.548]',-0.535,0.600
'[10:00:04.552]',-0.520,0.630
'[10:00:04.556]',-0.530,0.650
'[10:00:04.560]',-0.510,0.655
'[10:00:04.564]',-0.535,0.660
'[10:00:04.568]',-0.535,0.695
'[10:00:04.572]',-0.515,0.730
'[10:00:04.576]',-0.515,0.745
'[10:00:04.580]',-0.525,0.785
'[10:00:04.584]',-0.535,0.800
'[10:00:04.588]',-0.515,0.815
'[10:00:04.592]',-0.525,0.840
'[10:00:04.596]',-0.530,0.840
'[10:00:04.600]',-0.530,0.850
'[10:00:04.604]',-0.520,0.845
'[10:00:04.608]',-0.525,0.855
'[10:00:04.612]',-0.515,0.870
'[10:00:04.616]',-0.480,0.875
'[10:00:04.620]',-0.495,0.885
'[10:00:04.624]',-0.505,0.895
'[10:00:04.628]',-0.470,0.890
'[10:00:04.632]',-0.465,0.865
'[10:00:04.636]',-0.435,0.855
'[10:00:04.640]',-0.430,0.835
'[10:00:04.644]',-0.415,0.830
'[10:00:04.648]',-0.400,0.840
'[10:00:04.652]',-0.425,0.785
'[10:00:04.656]',-0.395,0.760
'[10:00:04.660]',-0.390,0.725
'[10:00:04.664]',-0.345,0.680
'[10:00:04.668]',-0.310,0.645
'[10:00:04.672]',-0.300,0.585
'[10:00:04.676]',-0.305,0.535
'[10:00:04.680]',-0.295,0.495
'[10:00:04.684]',-0.280,0.450
'[10:00:04.688]',-0.290,0.380
'[10:00:04.692]',-0.275,0.340
'[10:00:04.696]',-0.260,0.300
'[10:00:04.700]',-0.240,0.250
'[10:00:04.704]',-0.255,0.235
'[10:00:04.708]',-0.255,0.165
'[10:00:04.712]',-0.245,0.120
'[10:00:04.716]',-0.270,0.115
'[10:00:04.720]',-0.270,0.090
'[10:00:04.724]',-0.270,0.105
'[10:00:04.728]',-0.265,0.050
'[10:00:04.732]',-0.240,0.025
'[10:00:04.736]',-0.265,0.010
'[10:00:04.740]',-0.280,0.025
'[10:00:04.744]',-0.305,0.000
'[10:00:04.748]',-0.285,0.000
'[10:00:04.752]',-0.295,-0.005
'[10:00:04.756]',-0.290,-0.015
'[10:00:04.760]',-0.300,-0.015
'[10:00:04.764]',-0.305,0.010
'[10:00:04.768]',-0.295,0.005
'[10:00:04.772]',-0.300,0.005
'[10:00:04.776]',-0.305,0.005
'[10:00:04.780]',-0.305,0.020
'[10:00:04.784]',-0.325,0.000
'[10:00:04.788]',-0.300,0.005
'[10:00:04.792]',-0.320,0.020
'[10:00:04.796]',-0.335,0.040
'[10:00:04.800]',-0.345,0.030
'[10:00:04.804]',-0.340,0.035
'[10:00:04.808]',-0.330,0.025
'[10:00:04.812]',-0.325,0.025
'[10:00:04.816]',-0.310,0.005
'[10:00:04.820]',-0.345,0.020
'[10:00:04.824]',-0.355,0.030
'[10:00:04.828]',-0.355,0.015
'[10:00:04.832]',-0.345,0.040
'[10:00:04.836]',-0.350,0.040
'[10:00:04.840]',-0.335,0.020
'[10:00:04.844]',-0.340,0.010
'[10:00:04.848]',-0.320,0.020
'[10:00:04.852]',-0.325,0.010
'[10:00:04.856]',-0.345,-0.010
'[10:00:04.860]',-0.350,0.005
'[10:00:04.864]',-0.325,0.005
'[10:00:04.868]',-0.340,0.005
'[10:00:04.872]',-0.350,0.005
'[10:00:04.876]',-0.340,0.000
'[10:00:04.880]',-0.320,0.005
'[10:00:04.884]',-0.305,-0.005
'[10:00:04.888]',-0.285,0.005
'[10:00:04.892]',-0.290,-0.025
'[10:00:04.896]',-0.285,-0.020
'[10:00:04.900]',-0.270,-0.015
'[10:00:04.904]',-0.260,-0.005
'[10:00:04.908]',-0.225,-0.040
'[10:00:04.912]',-0.205,-0.030
'[10:00:04.916]',-0.195,-0.035
'[10:00:04.920]',-0.170,-0.040
'[10:00:04.924]',-0.150,-0.025
'[10:00:04.928]',-0.130,0.000
'[10:00:04.932]',-0.100,0.015
'[10:00:04.936]',-0.095,0.035
'[10:00:04.940]',-0.105,0.055
'[10:00:04.944]',-0.060,0.040
'[10:00:04.948]',-0.060,0.075
'[10:00:04.952]',-0.100,0.080
'[10:00:04.956]',-0.125,0.060
'[10:00:04.960]',-0.140,0.035
'[10:00:04.964]',-0.150,0.045
'[10:00:04.968]',-0.165,0.015
'[10:00:04.972]',-0.195,0.005
'[10:00:04.976]',-0.180,-0.010
'[10:00:04.980]',-0.200,-0.010
'[10:00:04.984]',-0.215,-0.025
'[10:00:04.988]',-0.205,-0.035
'[10:00:04.992]',-0.195,-0.050
'[10:00:04.996]',-0.200,-0.060
'[10:00:05.000]',-0.215,-0.090
'[10:00:05.004]',-0.260,-0.100
'[10:00:05.008]',-0.285,-0.080
'[10:00:05.012]',-0.330,-0.080
'[10:00:05.016]',-0.340,-0.065
'[10:00:05.020]',-0.350,-0.075
'[10:00:05.024]',-0.360,-0.100
'[10:00:05.028]',-0.350,-0.070
'[10:00:05.032]',-0.355,-0.060
'[10:00:05.036]',-0.365,-0.075
'[10:00:05.040]',-0.360,-0.090
'[10:00:05.044]',-0.340,-0.075
'[10:00:05.048]',-0.360,-0.065
'[10:00:05.052]',-0.350,-0.075
'[10:00:05.056]',-0.335,-0.080
'[10:00:05.060]',-0.345,-0.065
'[10:00:05.064]',-0.355,-0.065
'[10:00:05.068]',-0.335,-0.085
'[10:00:05.072]',-0.330,-0.095
'[10:00:05.076]',-0.345,-0.110
'[10:00:05.080]',-0.365,-0.095
'[10:00:05.084]',-0.380,-0.100
'[10:00:05.088]',-0.365,-0.065
'[10:00:05.092]',-0.360,-0.075
'[10:00:05.096]',-0.340,-0.065
'[10:00:05.100]',-0.320,-0.080
'[10:00:05.104]',-0.310,-0.100
'[10:00:05.108]',-0.295,-0.100
'[10:00:05.112]',-0.265,-0.085
'[10:00:05.116]',-0.220,-0.080
'[10:00:05.120]',-0.120,-0.085
'[10:00:05.124]',0.020,-0.085
'[10:00:05.128]',0.230,-0.080
'[10:00:05.132]',0.480,-0.090
'[10:00:05.136]',0.705,-0.115
'[10:00:05.140]',0.905,-0.110
'[10:00:05.144]',1.020,-0.080
'[10:00:05.148]',1.075,-0.080
'[10:00:05.152]',1.085,-0.310
'[10:00:05.156]',1.060,-0.780
'[10:00:05.160]',1.005,-1.420
'[10:00:05.164]',0.925,-2.060
'[10:00:05.168]',0.845,-2.580
'[10:00:05.172]',0.780,-2.840
'[10:00:05.176]',0.750,-2.970
'[10:00:05.180]',0.755,-3.030
'[10:00:05.184]',0.780,-3.045
'[10:00:05.188]',0.800,-3.060
'[10:00:05.192]',0.740,-3.015
'[10:00:05.196]',0.605,-2.860
'[10:00:05.200]',0.470,-2.600
'[10:00:05.204]',0.355,-2.280
'[10:00:05.208]',0.345,-2.030
'[10:00:05.212]',0.455,-1.830
'[10:00:05.216]',0.580,-1.710
'[10:00:05.220]',0.635,-1.575
'[10:00:05.224]',0.555,-1.455
'[10:00:05.228]',0.325,-1.280
'[10:00:05.232]',0.075,-1.075
'[10:00:05.236]',-0.120,-0.825
'[10:00:05.240]',-0.190,-0.630
'[10:00:05.244]',-0.215,-0.455
'[10:00:05.248]',-0.210,-0.375
'[10:00:05.252]',-0.250,-0.275
'[10:00:05.256]',-0.280,-0.165
'[10:00:05.260]',-0.325,0.000
'[10:00:05.264]',-0.355,0.095
'[10:00:05.268]',-0.350,0.200
'[10:00:05.272]',-0.355,0.255
'[10:00:05.276]',-0.365,0.290
'[10:00:05.280]',-0.345,0.270
'[10:00:05.284]',-0.325,0.275
'[10:00:05.288]',-0.330,0.290
'[10:00:05.292]',-0.320,0.300
'[10:00:05.296]',-0.310,0.295
'[10:00:05.300]',-0.345,0.295
'[10:00:05.304]',-0.360,0.320
'[10:00:05.308]',-0.365,0.315
'[10:00:05.312]',-0.355,0.325
'[10:00:05.316]',-0.335,0.330
'[10:00:05.320]',-0.350,0.350
'[10:00:05.324]',-0.330,0.335
'[10:00:05.328]',-0.355,0.350
'[10:00:05.332]',-0.355,0.375
'[10:00:05.336]',-0.350,0.375
'[10:00:05.340]',-0.370,0.395
'[10:00:05.344]',-0.390,0.410
'[10:00:05.348]',-0.400,0.410
'[10:00:05.352]',-0.400,0.440
'[10:00:05.356]',-0.385,0.430
'[10:00:05.360]',-0.380,0.440
'[10:00:05.364]',-0.395,0.435
'[10:00:05.368]',-0.395,0.465
'[10:00:05.372]',-0.385,0.475
'[10:00:05.376]',-0.400,0.500
'[10:00:05.380]',-0.420,0.520
'[10:00:05.384]',-0.420,0.530
'[10:00:05.388]',-0.430,0.540
'[10:00:05.392]',-0.430,0.565
'[10:00:05.396]',-0.440,0.590
'[10:00:05.400]',-0.460,0.600
'[10:00:05.404]',-0.455,0.625
'[10:00:05.408]',-0.480,0.675
'[10:00:05.412]',-0.495,0.670
'[10:00:05.416]',-0.475,0.715
'[10:00:05.420]',-0.475,0.730
'[10:00:05.424]',-0.450,0.745
'[10:00:05.428]',-0.435,0.750
'[10:00:05.432]',-0.450,0.790
'[10:00:05.436]',-0.470,0.805
'[10:00:05.440]',-0.500,0.820
'[10:00:05.444]',-0.505,0.855
'[10:00:05.448]',-0.495,0.865
'[10:00:05.452]',-0.505,0.890
'[10:00:05.456]',-0.500,0.915
'[10:00:05.460]',-0.480,0.915
'[10:00:05.464]',-0.455,0.935
'[10:00:05.468]',-0.460,0.925
'[10:00:05.472]',-0.465,0.935
'[10:00:05.476]',-0.465,0.935
'[10:00:05.480]',-0.455,0.955
